ARTICLE,units,pred,ae,n,wape,bias
Apple Royal Gala,1231.0,1167.667,346.078,60,0.281,-0.051
Banana Robusta,1549.0,1520.0,469.667,60,0.303,-0.019
Tomato Hybrid,1913.0,2073.667,655.978,60,0.343,0.084
Onion,1438.0,1527.0,499.4,60,0.347,0.062
Potato,1036.0,996.0,381.2,60,0.368,-0.039
Carrot,852.0,720.667,315.978,60,0.371,-0.154
Spinach,814.0,834.667,322.178,60,0.396,0.025
Full Cream Milk 1L,901.0,750.333,357.944,60,0.397,-0.167
Toned Milk 500ml,992.0,992.0,408.267,60,0.412,0.0
Orange,507.0,499.667,226.311,60,0.446,-0.014
Papaya,517.0,513.0,232.1,60,0.449,-0.008
Mango Alphonso,717.0,827.333,353.622,60,0.493,0.154
Bell Pepper,475.0,500.667,235.067,60,0.495,0.054
Grapes,544.0,566.0,277.467,60,0.51,0.04
Pineapple,416.0,351.667,213.111,60,0.512,-0.155
Watermelon,520.0,499.0,267.067,60,0.514,-0.04
Skimmed Milk 1L,466.0,451.667,240.0,60,0.515,-0.031
Curd 400g,623.0,566.667,323.0,60,0.518,-0.09
Beetroot,432.0,404.0,224.0,60,0.519,-0.065
Cucumber,468.0,524.0,246.4,60,0.526,0.12
Guava,391.0,390.0,213.0,60,0.545,-0.003
Broccoli,522.0,492.333,286.467,60,0.549,-0.057
Pomegranate,495.0,527.333,279.311,60,0.564,0.065
Dragon Fruit,335.0,308.0,208.333,60,0.622,-0.081
Greek Yoghurt 200g,356.0,300.667,228.067,60,0.641,-0.155
Chocolate Milk 200ml,441.0,397.333,283.222,60,0.642,-0.099
Organic Milk 500ml,306.0,304.667,199.089,60,0.651,-0.004
Baby Corn,270.0,300.333,190.122,60,0.704,0.112
Kiwi,218.0,221.667,186.167,60,0.854,0.017
