,dtype,pct_missing,n_unique,example
SITE,object,2.8,10,West-Fresh
SITE_NAME,object,0.0,5,West Fresh Store
BILL_DATE,datetime64[ns],0.0,365,2024-11-06 00:00:00
BILL_TIME,object,0.0,12919,19:16:53
BILL_TYPE,object,0.0,2,Return
BILL_NO,object,6.9,14777,Wes/0012655-1124
CUSTOMER_NAME,object,16.1,12344,Walk-in
MOBILE,float64,20.4,12871,9158672093.0
MOBILE_HASH,object,12.5,13130,247cb9683ec108ba
SALES_CHANNEL,object,0.0,8,In-Store
PAYMENT_METHOD,object,0.0,4,Debit Card
CREATED_BY,object,0.0,10,Priya S
DIVISION,object,11.8,3,Dairy & Milk
SECTION,object,0.0,9,Milk
ARTICLE,object,8.0,29,Full Cream Milk 1L
BRAND,object,0.0,7,Amul
BARCODE,int64,0.0,41234,8904011126556
HSN_CODE,int64,0.0,22,4011
UOM,object,0.0,9,PCS
BILL_QUANTITY,int64,0.0,6,4
RATE,float64,0.0,12652,49.82
RATE_TOTAL,float64,0.0,22396,199.28
MRP,float64,0.0,12652,54.8
MRP_VALUE,float64,0.0,22829,219.2
TAXDESCRIPTION,object,0.0,3,GST 5%
TAXPERCENT,int64,0.0,3,5
IGSTRATE,float64,0.0,1,0.0
CGSTRATE,float64,0.0,3,2.5
SGSTRATE,float64,0.0,3,2.5
IGSTAMT,float64,0.0,1,0.0
CGSTAMT,float64,0.0,2622,4.98
SGSTAMT,float64,0.0,2620,4.98
TAXABLEAMT,object,0.0,22172,199.28
TAXAMT,float64,0.0,4368,9.96
NET_AMOUNT,float64,0.0,24541,209.24
RETURN_AMOUNT,float64,0.0,1,0.0
STORAGE_CONDITION,object,13.2,2,Chilled
SHELF_LIFE_DAYS,int64,0.0,10,2
EXPIRY_DATE,datetime64[ns],15.5,393,2024-06-16 00:00:00
_quality_tier,object,0.0,3,MEDIUM
_generated_at,object,0.0,45000,2026-05-22T06:02:04.415580+00:00
